Postcode,Suburb
2444,Port Macquarie
2443,Lake Cathie
2441,Wauchope
2440,Bonny Hills
2442,North Haven
2450,Coffs Harbour
2452,Woolgoolga
2454,Yamba
2456,Maclean
2457,Iluka
2460,Grafton
2463,Yamba
2464,Bellingen
2465,Nambucca Heads
2466,Macksville
2469,South Grafton
2470,Lismore
2472,Casino
2474,Byron Bay
2475,Mullumbimby
2476,Ocean Shores
2477,Bangalow
2478,Wardell
2479,Coraki
2480,Evans Head
2481,Alstonville
2482,Ballina
2483,Lennox Head
2484,Byron Bay
2485,Nimbin
2486,Kyogle
2487,Tenterfield
2488,Stanthorpe
2489,Grafton
2490,Lawrence
2491,Casino
2492,Coffs Harbour
2493,Sawtell
2494,Toormina
2495,Urunga
2496,Bellingen
2497,Nambucca Heads
2498,Macksville
2499,South West Rocks
2500,Wollongong